       pos     val_AA     val_AC     val_AG     val_AT     val_CA     val_CC     val_CG     val_CT     val_GA     val_GC     val_GG     val_GT     val_TA     val_TC     val_TG     val_TT
         0   0.081588  -0.019021   0.007188   0.042818  -0.048443  -0.015712  -0.053949  -0.024360  -0.025149  -0.030791  -0.022920  -0.026910   0.052324   0.002189  -0.014354   0.095505
         1   0.033288  -0.005410   0.014198   0.018246  -0.033583  -0.001761  -0.020431  -0.007561  -0.018550  -0.025738  -0.028961  -0.010787   0.007764   0.024888  -0.000199   0.054599
         2  -0.026142   0.008002  -0.029641   0.036698  -0.001028  -0.008025  -0.022645   0.023678   0.006907  -0.016295  -0.054918   0.028913  -0.005400   0.003121   0.000996   0.055780
         3  -0.046159  -0.006071  -0.001542   0.028109  -0.020442  -0.024574   0.056595  -0.024776  -0.005172  -0.055010  -0.029327  -0.016699   0.001295  -0.016304   0.128112   0.031967
         4  -0.025599  -0.043215  -0.001139  -0.000524  -0.027854  -0.003763  -0.002405  -0.067938   0.036354   0.025424  -0.004574   0.096634   0.054191   0.008413  -0.042354  -0.001649
         5  -0.043352   0.014568   0.036066   0.029810   0.038567  -0.029127   0.022882  -0.045464  -0.009039  -0.028514   0.021660  -0.034579  -0.047661  -0.042292   0.112699   0.003777
         6  -0.007502  -0.018848  -0.018609  -0.016526  -0.043531  -0.075801   0.026340   0.007628   0.166083   0.045912  -0.005211  -0.013478   0.022821  -0.019368  -0.001686  -0.048224
         7  -0.010014   0.068860   0.008494   0.070531  -0.016392  -0.064684   0.019801  -0.006830   0.031450   0.010943  -0.001037  -0.040522  -0.019047  -0.025867  -0.018018  -0.007669
         8  -0.012821   0.012587   0.020371  -0.034140   0.004572  -0.025659   0.012541  -0.002201  -0.006184   0.022123   0.001581  -0.008279  -0.003172   0.055535  -0.016410  -0.020443
         9  -0.014430   0.010665  -0.020602   0.006761   0.005237   0.019315  -0.005303   0.045337   0.012308  -0.008318  -0.001561   0.015654  -0.035518  -0.017090  -0.017046   0.004592
        10   0.009097  -0.011922  -0.019131  -0.010447   0.027091  -0.001078  -0.005058  -0.016382   0.002551  -0.020683  -0.015525  -0.010856   0.031716   0.010160   0.020386   0.010081
        11   0.002987   0.022378   0.037653   0.007436  -0.016488  -0.006617   0.012242  -0.012660  -0.031956  -0.003497   0.028303  -0.012178  -0.008655   0.006355   0.005569  -0.030872
        12  -0.030422  -0.010521   0.014293  -0.027462  -0.021554  -0.000395   0.020137   0.020430   0.047682   0.021290  -0.005197   0.019992  -0.030462   0.001259   0.014233  -0.033303
        13  -0.045778  -0.057097  -0.022446   0.090566  -0.028171   0.000443   0.026418   0.012943  -0.011687   0.030389  -0.040327   0.065091   0.010391  -0.005107  -0.019687  -0.005941
        14  -0.070891  -0.026445  -0.031781   0.053871  -0.036516  -0.023435   0.005965   0.022613  -0.044197   0.027551  -0.007258  -0.032137   0.041939   0.153410  -0.104584   0.071893
        15  -0.014378  -0.041879  -0.039945  -0.013462   0.125793  -0.008534  -0.044816   0.058639  -0.088873   0.008775  -0.008411  -0.049148  -0.111800   0.024678   0.241926  -0.038565
        16  -0.018784   0.080244  -0.121063  -0.029656  -0.001700   0.005522   0.019123  -0.039906   0.050024   0.080987   0.006215   0.011529   0.020478   0.009053  -0.053393  -0.018673
        17   0.044709   0.003711   0.003372  -0.001774   0.151898  -0.043569   0.071108  -0.003631  -0.013553  -0.033485  -0.023666  -0.078415   0.027228  -0.035516   0.004305  -0.072722
        18   0.056736   0.049517   0.040312   0.063717  -0.015282  -0.041675  -0.044873  -0.007028   0.017290  -0.004843   0.019947   0.022724  -0.020339  -0.056848  -0.050345  -0.029010
        19   0.049881  -0.023912  -0.011302   0.023739  -0.022101  -0.022595  -0.042884   0.033731   0.009715  -0.046009  -0.027512   0.028847   0.017533   0.010956  -0.022774   0.044688
        20   0.052715  -0.025722  -0.037036   0.065070  -0.035541  -0.029629  -0.038070   0.021680  -0.014665  -0.038603  -0.034376  -0.016830   0.019320   0.033028  -0.044048   0.122704
