pos	par_A	par_C	par_G	par_T
0	0.00	0.14	0.02	0.14	
1	0.06	0.42	0.00	0.52	
2	0.10	0.11	0.10	0.00	
3	0.00	0.18	0.03	0.11	
4	0.78	0.00	0.02	1.35	
5	2.56	2.23	2.42	0.00	
6	1.11	2.68	0.95	0.00	
7	3.49	3.04	0.00	1.56	
8	0.00	1.55	0.80	1.51	
9	1.84	0.00	2.45	1.44	
10	0.00	0.95	0.75	0.36	
11	0.00	0.40	0.33	0.04	
12	0.05	0.16	0.00	0.11	
13	0.00	0.02	0.00	0.03	
14	0.08	0.06	0.02	0.00	
15	0.00	0.25	0.09	0.35	
16	0.26	0.17	0.08	0.00	
17	0.00	0.21	0.14	0.51	
18	0.20	0.00	0.00	0.22	
19	0.12	0.05	0.07	0.00	
20	0.09	0.12	0.15	0.00	
21	0.07	0.06	0.10	0.00	
22	0.07	0.13	0.12	0.00	
23	0.08	0.23	0.28	0.00	
24	0.58	0.53	0.52	0.00	
25	0.00	0.86	0.42	1.20	
26	0.32	0.51	0.00	0.49	
27	1.03	1.80	0.00	1.03	
28	0.39	0.46	0.00	0.12	
29	1.15	1.74	2.73	0.00	
30	0.00	3.46	3.49	3.20	
31	0.34	0.79	0.91	0.00	
32	0.00	0.97	1.19	1.23	
33	0.00	0.56	1.19	1.29	
34	1.54	2.99	2.44	0.00	
35	0.00	0.81	0.38	0.67	
36	0.03	0.62	0.17	0.00	
37	0.00	0.32	0.25	0.20	
38	0.08	0.14	0.04	0.00	
39	0.00	0.44	0.42	0.27	
40	0.00	0.13	0.17	0.04	
