pos	par_A	par_C	par_G	par_T
0	0.00	0.68	0.62	0.21	
1	0.00	1.20	0.72	0.37	
2	0.00	1.17	0.91	0.09	
3	0.25	1.30	1.38	0.00	
4	0.12	0.58	0.30	0.00	
5	1.81	0.88	2.21	0.00	
6	2.08	3.17	0.00	1.89	
7	1.15	1.59	1.80	0.00	
8	3.17	3.25	0.00	2.30	
9	0.00	0.98	1.84	1.87	
10	0.99	0.00	0.56	0.11	
11	0.60	0.00	0.38	0.70	
12	0.56	0.35	0.45	0.00	
13	0.00	0.43	0.17	0.41	
14	0.70	0.30	0.00	0.52	
15	0.00	0.85	0.72	1.03	
16	2.23	1.99	1.32	0.00	
17	2.30	0.00	3.26	2.98	
18	0.00	1.92	1.48	1.25	
19	1.01	0.00	2.88	1.69	
20	0.00	2.68	1.18	2.42	
21	0.00	0.94	0.46	0.40	
22	0.94	1.35	1.94	0.00	
23	0.19	0.76	0.91	0.00	
24	0.99	0.45	1.23	0.00	
25	0.75	0.47	0.62	0.00	
