pos	par_A	par_C	par_G	par_T
0	0.52	1.20	0.00	0.66	
1	0.00	1.08	0.02	2.31	
2	1.00	0.24	0.85	0.00	
3	0.28	0.58	0.00	0.56	
4	3.56	0.86	0.00	6.01	
5	9.14	8.25	7.79	0.00	
6	4.89	8.60	4.14	0.00	
7	13.46	13.28	0.00	6.15	
8	0.00	8.60	3.63	6.32	
9	7.61	0.00	10.15	4.39	
10	0.00	4.48	4.06	1.47	
11	0.00	1.94	1.46	0.75	
12	0.75	2.35	0.00	1.23	
13	0.51	1.19	0.00	0.94	
14	1.24	0.34	0.00	0.09	
15	0.00	1.80	0.47	1.72	
16	0.58	0.38	0.43	0.00	
17	0.00	2.46	1.98	3.62	
18	0.66	0.00	0.46	1.80	
19	0.52	0.48	0.07	0.00	
20	0.29	0.59	0.59	0.00	
21	0.00	1.21	1.24	0.66	
22	0.00	0.29	0.38	0.17	
23	0.60	1.71	1.47	0.00	
24	2.86	2.92	2.70	0.00	
25	0.00	3.33	1.12	4.64	
26	1.75	2.81	0.00	2.29	
27	4.25	7.52	0.00	4.01	
28	2.18	2.26	0.00	0.79	
29	4.24	8.21	10.09	0.00	
30	0.00	13.65	13.13	13.64	
31	1.95	4.31	3.79	0.00	
32	0.00	3.69	5.43	5.96	
33	0.00	2.58	4.71	5.74	
34	7.00	11.29	10.70	0.00	
35	0.00	3.56	2.04	3.39	
36	0.19	3.22	0.03	0.00	
37	0.00	1.76	1.69	1.27	
38	0.78	0.79	0.00	0.19	
39	0.00	3.23	3.54	3.11	
40	0.62	0.93	1.00	0.00	
