pos	par_A	par_C	par_G	par_T
0	0.00	0.00	0.00	0.00	
1	0.00	0.00	0.00	0.00	
2	0.00	0.04	0.01	0.00	
3	0.01	0.05	0.07	0.00	
4	0.00	0.06	0.05	0.04	
5	0.10	0.06	0.12	0.00	
6	0.17	0.19	0.00	0.18	
7	0.14	0.12	0.12	0.00	
8	0.18	0.20	0.00	0.19	
9	0.00	0.13	0.16	0.16	
10	0.04	0.01	0.03	0.00	
11	0.04	0.00	0.06	0.08	
12	0.07	0.02	0.04	0.00	
13	0.00	0.04	0.02	0.07	
14	0.08	0.06	0.00	0.04	
15	0.00	0.03	0.01	0.04	
16	0.16	0.16	0.13	0.00	
17	0.19	0.00	0.20	0.18	
18	0.00	0.12	0.12	0.14	
19	0.18	0.00	0.19	0.17	
20	0.00	0.12	0.06	0.10	
21	0.04	0.05	0.06	0.00	
22	0.00	0.07	0.05	0.01	
23	0.00	0.01	0.04	0.00	
24	0.00	0.00	0.00	0.00	
25	0.00	0.00	0.00	0.00	
